source_context,package_or_component,version_or_value,role,note
submitted_model_construction_pip_output,nvidia-cusolver-cu12,11.4.5.107,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,nvidia-cusparse-cu12,12.1.0.106,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,nvidia-nccl-cu12,2.20.5,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,nvidia-nvtx-cu12,12.1.105,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,triton,2.3.1,cuda_runtime_dependency,"Torch dependency."
submitted_model_construction_pip_output,nvidia-nvjitlink-cu12,12.5.82,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,MarkupSafe,2.1.5,package_dependency,"Jinja2 dependency."
submitted_model_construction_pip_output,mpmath,1.3.0,package_dependency,"Sympy dependency."
submitted_model_construction_pip_output,tqdm,4.66.4,package_dependency,"SHAP/progress dependency."
submitted_model_construction_pip_output,packaging,24.1,package_dependency,"SHAP/matplotlib dependency."
submitted_model_construction_pip_output,slicer,0.0.8,package_dependency,"SHAP dependency."
submitted_model_construction_pip_output,numba,0.58.1,package_dependency,"SHAP dependency."
submitted_model_construction_pip_output,cloudpickle,2.2.1,package_dependency,"SHAP dependency."
submitted_model_construction_pip_output,llvmlite,0.41.1,package_dependency,"Numba dependency."
submitted_model_construction_pip_output,python-dateutil,2.8.2,package_dependency,"Pandas/matplotlib dependency."
submitted_model_construction_pip_output,pytz,2023.4,package_dependency,"Pandas dependency."
submitted_model_construction_pip_output,tzdata,2024.1,package_dependency,"Pandas dependency."
submitted_model_construction_pip_output,six,1.16.0,package_dependency,"python-dateutil dependency."
submitted_model_construction_pip_output,contourpy,1.2.1,package_dependency,"Matplotlib dependency."
submitted_model_construction_pip_output,cycler,0.12.1,package_dependency,"Matplotlib dependency."
submitted_model_construction_pip_output,fonttools,4.53.1,package_dependency,"Matplotlib dependency."
submitted_model_construction_pip_output,kiwisolver,1.4.5,package_dependency,"Matplotlib dependency."
submitted_model_construction_pip_output,pillow,9.4.0,package_dependency,"Matplotlib dependency."
submitted_model_construction_pip_output,pyparsing,3.1.2,package_dependency,"Matplotlib dependency."
